id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 113,Which laboratory studies were stressed as the major thyroid hormone tests?,"BUN, creatinine, and calcium","TSH, T3, and T4","Hgb, Hct, and platelets","AST, ALT, and bilirubin",B,"The diagnostic studies slide specifically lists TSH, T3, and T4."
Question 114,"Which imaging study did the lecture repeatedly emphasize as an easy, noninvasive way to look at endocrine organs such as the thyroid?",PET scan,Ultrasound,Bone scan,Angiography,B,The lecture repeatedly stressed ultrasound as the easiest noninvasive imaging study for many endocrine organs.
Question 115,The hypothalamus is best described as:,A gland above the kidneys,The structure under the thalamus that regulates other endocrine glands,The posterior thyroid lobe,A pancreatic structure that secretes insulin,B,The hypothalamus and pituitary slide states that the hypothalamus is under the thalamus and its hormones act directly on other endocrine glands.
Question 116,The pituitary gland is located where?,At the base of the brain,In the thyroid,On top of each kidney,In the left upper quadrant of the abdomen,A,The pituitary slide states that the pituitary gland is located at the base of the brain.
Question 117,Hypopituitarism usually becomes clinically obvious after what happens?,The posterior pituitary enlarges,The majority of the anterior pituitary becomes nonfunctional or destroyed,The thyroid gland is removed,The adrenal medulla stops making catecholamines,B,The hypopituitarism slide states that onset is gradual and occurs after the majority of the anterior pituitary is nonfunctional or destroyed.
Question 118,Which finding is most consistent with low ACTH in hypopituitarism?,Hypernatremia,Hypoglycemia,Polyuria,Hypercalcemia,B,The ACTH hypopituitarism slide lists hypoglycemia as a manifestation of decreased glucocorticoids.
Question 119,"A patient with hypopituitarism develops hyponatremia, hypotension, and hyperkalemia. Deficiency of which hormone is most related to these findings?",Growth hormone,ACTH,FSH,TSH,B,"The ACTH slide links decreased mineralocorticoids with hyponatremia, hypotension, and hyperkalemia."
Question 120,Which finding is expected with growth hormone deficiency in hypopituitarism?,Increased bone density,Decreased bone density,Exophthalmos,Hypertension,B,"The growth hormone hypopituitarism slide states decreased bone density, decreased muscle strength, and increased fracture risk."
Question 121,A female patient with hypopituitarism has irregular menses and decreased ovulation. This is most related to deficiency of:,LH,ADH,Calcitonin,Insulin,A,The luteinizing hormone slide lists irregular menses or amenorrhea and decreased ovulation in females.
Question 122,A male patient with hypopituitarism has decreased sperm production. Which pituitary hormone deficiency is most related?,TSH deficiency,FSH deficiency,ACTH deficiency,ADH deficiency,B,"The FSH slide states that in males, decreased sperm production is associated with low follicle-stimulating hormone."
Question 123,"A patient with hypopituitarism has weight gain, thinning hair, and decreased libido due to low T3 and T4. Which hormone is deficient?",TSH,PTH,GH,Prolactin,A,"The TSH slide lists decreased T3 and T4, decreased metabolic rate, weight gain, thinning of hair, and decreased libido."
Question 124,Which diagnostic tests are specifically listed for hypopituitarism?,"ACTH stimulation test, hormone levels, CT, and MRI",Only chest x-ray and ECG,Only thyroid ultrasound,Urine catecholamines only,A,"The diagnosis slide lists ACTH stimulation test, TSH/FSH/LH/prolactin/growth hormone, CT scan, and MRI."
Question 125,What is the major life-threatening complication emphasized with panhypopituitarism?,Hyperthermia,Seizures from hypercalcemia,Severe hypotension and circulatory collapse,Kidney stones,C,The complications slide states patients are at risk for severe hypotension and circulatory collapse due to lack of ACTH and aldosterone production.
Question 126,Which nursing action was emphasized for hypopituitarism with decreased growth hormone?,Restrict calcium,Increase vitamin D and calcium intake,Encourage bed rest only,Avoid physical therapy,B,The nursing actions slide says to increase vitamin D and calcium intake to treat osteoporosis secondary to decreased growth hormone.
Question 127,The teacher emphasized that patients taking hormone supplements for hypopituitarism should usually take them when?,At bedtime,At noon with lunch,In the morning,Only on alternating days,C,The teaching slide states to take hormone supplements in the morning to mimic normal release.
Question 128,Hyperpituitarism is usually related to what cause?,Autoimmune destruction,Hypersecreting tumor,Lack of iodine intake,Loss of parathyroid tissue,B,The hyperpituitarism slide states it is usually related to a hypersecreting tumor.
Question 129,Which condition can result from excess growth hormone in an adult?,Tetany,Acromegaly,Myxedema,Addisonian crisis,B,The slide on characteristics of acromegaly states that acromegaly in adults is due to excess growth hormone production.
Question 130,Which findings are expected with excess ACTH in hyperpituitarism?,Hypoglycemia and hypotension,"Hyperglycemia, hypernatremia, hypertension, and hypokalemia",Low metabolic rate and weight gain,Tetany and laryngospasm,B,"The ACTH hyperpituitarism slide lists hyperglycemia, increased cortisol, hypernatremia, hypertension, and hypokalemia."
Question 131,Which assessment finding best matches excess TSH in hyperpituitarism?,Weight gain and cold intolerance,Decreased T3 and T4,Weight loss and exophthalmos,Bronzed skin,C,"The TSH hyperpituitarism slide lists increased T3/T4, increased metabolic rate, weight loss, and exophthalmos."
Question 132,Which medications inhibit release of anterior pituitary hormones and growth hormone in hyperpituitarism?,Levothyroxine and insulin,Dopamine agonists and somatostatin analogs,Calcium gluconate and vitamin D,Furosemide and oral phosphates,B,The medications slide lists dopamine agonists and somatostatin analogs.
Question 133,Which surgical procedure was emphasized as treatment for hypersecreting pituitary tumors?,Parathyroidectomy,Adrenalectomy,Transsphenoidal hypophysectomy,Whipple procedure,C,The surgical management slide lists transsphenoidal hypophysectomy for pituitary tumor removal.
Question 134,"After transsphenoidal hypophysectomy, which finding suggests postoperative diabetes insipidus?",Weight gain with concentrated urine,"Hypotension, tachycardia, and large amounts of dilute urine",Bradycardia with edema,Tetany and positive Chvostek sign,B,The post-op slide states hypotension and tachycardia may be seen with DI and intake/output shows large amounts of dilute urine.
Question 135,Which urine-specific gravity strongly suggests diabetes insipidus after pituitary surgery?,1.03,1.02,Less than 1.005,Greater than 1.040,C,The slides repeatedly emphasize urine-specific gravity less than 1.005 as a key indicator of DI.
Question 136,Which medication may be ordered after transsphenoidal hypophysectomy to treat diabetes insipidus?,Methimazole,Desmopressin,Hydrocortisone,Aminoglutethimide,B,The post-op and DI slides state that desmopressin or vasopressin may be given to cause water reabsorption.
Question 137,Which patient teaching is correct after transsphenoidal hypophysectomy?,Cough forcefully every hour,Bend at the waist to reduce stiffness,Report any increase in clear nasal drainage,Use a hard toothbrush for oral care,C,The teaching slide states to report increased clear fluid from the nose because it may indicate a CSF leak.
Question 138,Central diabetes insipidus is caused by:,Excess insulin from the pancreas,Lack of ADH production related to the hypothalamus/posterior pituitary,Excess parathyroid hormone,Thyroid hormone excess,B,The DI slide states central DI involves decreased ADH from the posterior pituitary and lack of ADH production in the hypothalamus.
Question 139,Which set of findings best matches diabetes insipidus?,"Polyuria, polydipsia, low urine specific gravity, and hypernatremia","Weight gain, bradycardia, and low sodium","Moon face, hypokalemia, and hypertension","Tetany, low calcium, and laryngospasm",A,"The DI slides emphasize polyuria, polydipsia, hypotension/tachycardia, hypernatremia, and urine specific gravity less than 1.005."
Question 140,Which statement best describes Addison's disease from the lecture?,Excessive circulating glucocorticoids,Adrenal cortical insufficiency with decreased glucocorticoids and mineralocorticoids,Excess catecholamine secretion,Excess thyroid hormone,B,The adrenal cortical insufficiency slides describe Addison's disease as decreased glucocorticoid and mineralocorticoid secretion.
Question 141,Which finding is classic for adrenal cortical insufficiency?,Moon face,Bronzed hyperpigmentation,Exophthalmos,Tetany,B,"The clinical manifestations slide for adrenal insufficiency lists darkened, bronzed hyperpigmentation."
Question 142,Which medication was emphasized as treatment for adrenal cortical insufficiency because it has both glucocorticoid and mineralocorticoid actions?,Methimazole,Hydrocortisone,Desmopressin,Levothyroxine,B,The adrenal insufficiency medication slide specifically states hydrocortisone has both glucocorticoid and mineralocorticoid actions.
Question 143,A patient in adrenal crisis needs which priority treatment according to the lecture?,Oral calcium,IV corticosteroid administration,Antithyroid medication,Eye lubricant,B,The lecture and adrenal insufficiency action slide stress that definitive treatment of acute adrenal insufficiency is IV cortisone/corticosteroid administration.
Question 144,"Which disorder is associated with moon face, buffalo hump, truncal obesity, hyperglycemia, and fluid retention?",Addison's disease,Cushing's disease,Hypothyroidism,Hypoparathyroidism,B,"The hypercortisolism slides emphasize abnormal fat distribution, moon face, buffalo hump, hyperglycemia, and fluid retention in Cushing's disease."
Question 145,Which lab abnormality was linked to adrenal cortex hyperfunction?,Hypoglycemia,Hypocalcemia,Hypokalemia,Low cortisol,C,The adrenal cortex hyperfunction slides repeatedly mention hypokalemia related to excess glucocorticoid/mineralocorticoid effect.
Question 146,Which clinical presentation is most classic for pheochromocytoma?,"Sudden hypertension, tachycardia, and severe headaches","Weight gain, bradycardia, and cold intolerance",Tetany and muscle spasms,Polyuria with dilute urine,A,"The pheochromocytoma slides list sudden hypertension, tachycardia, severe headaches, palpitations, and hyperhidrosis."
Question 147,What is the definitive treatment for pheochromocytoma?,Thyroidectomy,Adrenalectomy,Parathyroidectomy,Long-term levothyroxine,B,The pheochromocytoma surgical management slide states adrenalectomy is the definitive treatment.
Question 148,Which laboratory pattern is expected in primary hypothyroidism?,"Low TSH, high T3/T4","High TSH, low T3/T4","High calcium, low phosphate","Low sodium, high potassium",B,"The lecture repeatedly stressed that in primary hypothyroidism, TSH is high because the body is trying to stimulate more thyroid hormone, while T3/T4 are low."
Question 149,Which severe complication of hypothyroidism did the teacher stress as a major emergency?,Thyroid storm,Myxedema coma,Pheochromocytoma crisis,HHS,B,The hypothyroidism complication slide and lecture emphasize myxedema coma as the major emergency.
Question 150,"A patient has exophthalmos, weight loss, increased appetite, and insomnia. Which disorder best matches the slide sequence review?",Hypothyroidism,Hyperparathyroidism,Graves' disease/hyperthyroidism,Hypopituitarism,C,"The hyperthyroidism slides list weight loss, nervousness, insomnia, increased appetite, and exophthalmos, and the teacher stressed Graves' disease as the most common cause."
